month_year,Total,Game Content,Hardware,Accessories,Software
Mar 2010,1.52,,0.44,0.21,0.88
Apr 2010,0.77,,0.25,0.12,0.40
May 2010,0.82,,0.24,0.12,0.47
Jun 2010,1.10,,0.40,0.17,0.53
Jul 2010,0.85,,0.31,0.13,0.40
Aug 2010,0.82,,0.28,0.13,0.40
Sep 2010,1.18,,0.38,0.18,0.61
Oct 2010,1.03,,0.28,0.14,0.60
Nov 2010,2.94,,1.08,0.41,1.45
Dec 2010,5.07,,1.84,0.86,2.37
Jan 2011,1.14,,0.32,0.24,0.58
Feb 2011,1.33,,0.47,0.26,0.60
Mar 2011,1.47,,0.49,0.24,0.74
Apr 2011,0.93,,0.28,0.15,0.50
May 2011,0.72,,0.23,0.11,0.38
Jun 2011,0.99,,0.36,0.16,0.46
Jul 2011,0.69,,0.22,0.13,0.34
Aug 2011,0.65,,0.25,0.14,0.26
Sep 2011,1.11,,0.35,0.16,0.61
Oct 2011,1,,0.30,0.13,0.58
Nov 2011,2.87,,0.96,0.31,1.60
Dec 2011,4.10,,1.33,0.70,2.07
Jan 2012,0.77,,0.20,0.20,0.37
Feb 2012,1.06,,0.38,0.22,0.47
Mar 2012,1.10,,0.32,0.22,0.56
Apr 2012,0.66,,0.19,0.15,0.29
May 2012,0.52,,0.14,0.12,0.26
Jun 2012,0.70,,0.20,0.17,0.33
Jul 2012,0.55,,0.15,0.14,0.26
Aug 2012,0.52,,0.15,0.13,0.24
Sept 2012,0.85,,0.21,0.14,0.50
Oct 2012,0.76,,0.19,0.14,0.43
Nov 2012,2.55,,0.84,0.28,1.43
Dec 2012,3.21,,1.07,0.60,1.54
Jan 2013,0.84,,0.21,0.26,0.37
Feb 2013,0.81,,0.24,0.21,0.35
Mar 2013,0.99,,0.22,0.22,0.56
Apr 2013,0.50,,0.11,0.13,0.25
May 2013,0.39,,0.10,0.12,0.18
Jun 2013,0.59,,0.14,0.16,0.30
Jul 2013,0.44,,0.10,0.13,0.21
Aug 2013,0.52,,0.09,0.14,0.29
Sep 2013,1.08,,0.18,0.14,0.75
Oct 2013,0.79,,0.17,0.14,0.48
Nov 2013,2.74,,1.33,0.33,1.09
Dec 2013,3.21,,1.07,0.61,1.54
Jan 2014,0.66,,0.24,0.20,0.22
Feb 2014,0.88,,0.35,0.22,0.32
Mar 2014,1.02,,0.39,0.22,0.41
Apr 2014,0.58,,0.19,0.16,0.23
May 2014,0.59,,0.19,0.12,0.27
Jun 2014,0.73,,0.29,0.16,0.29
Jul 2014,0.51,,0.20,0.14,0.18
Aug 2014,0.56,,0.20,0.13,0.23
Sept 2014,1.10,,0.43,0.19,0.48
Oct 2014,0.79,,0.27,0.17,0.35
Nov 2014,2.42,,1.02,0.34,1.07
Dec 2014,3.26,,1.31,0.69,1.25
Jan 2015,0.63,,0.19,0.21,0.24
Feb 2015,0.96,,0.38,0.24,0.34
Mar 2015,0.97,,0.31,0.26,0.39
Apr 2015,0.60,,0.18,0.16,0.26
May 2015,0.51,,0.15,0.15,0.20
Jun 2015,0.88,,0.31,0.13,0.40
Jul 2015,0.56,,0.20,0.12,0.22
Aug 2015,0.57,,0.19,0.11,0.25
Sept 2015,1.09,,0.31,0.18,0.58
Oct 2015,0.83,,0.27,0.16,0.39
Nov 2015,2.60,,1.12,0.28,1.17
Dec 2015,3.28,,1.24,0.64,1.35
Jan 2016,0.64,,0.16,0.19,0.27
Feb 2016,0.92,,0.29,0.19,0.40
Mar 2016,1.09,,0.25,0.21,0.59
Apr 2016,0.58,,0.14,0.12,0.29
May 2016,0.61,,0.14,0.11,0.34
